_ga;GA1.2.221324855.1574426467;.guru99.com;/;Sun Nov 21 18:11:17 IST 2021;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Fri Nov 22 18:12:06 IST 2019;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
_gid;GA1.2.1511062078.1574426467;.guru99.com;/;Sat Nov 23 18:11:17 IST 2019;false
